Date,Open*,High,Low,Close**,Volume,Market Cap
7.Mar.20,0.184815,0.199968,0.1704,0.188114,"2,203,410","65,839,900"
8.Mar.20,0.169117,0.205014,0.168743,0.183071,"2,992,650","64,074,850"
9.Mar.20,0.179667,0.198376,0.145948,0.170898,"5,455,200","59,814,300"
10.Mar.20,0.186398,0.197687,0.166026,0.17977,"2,238,980","62,919,500"
11.Mar.20,0.2247,0.23128,0.180161,0.187602,"2,125,460","65,660,700"
12.Mar.20,0.216713,0.248233,0.195411,0.223969,"3,347,920","78,389,150"
13.Mar.20,0.177328,0.258522,0.171102,0.213909,"5,493,180","74,868,150"
14.Mar.20,0.167836,0.177565,0.162294,0.177539,"1,267,510","62,138,650"
15.Mar.20,0.17337,0.17347,0.156914,0.167456,"1,599,470","58,609,600"
16.Mar.20,0.176922,0.182497,0.169625,0.172059,"1,080,670","60,220,650"
17.Mar.20,0.170295,0.185698,0.162385,0.177603,"1,757,130","62,161,050"
18.Mar.20,0.161143,0.188294,0.158104,0.171798,"2,411,460","60,129,300"
19.Mar.20,0.156799,0.194406,0.138434,0.167427,"3,643,740","58,599,450"
20.Mar.20,0.190372,0.190372,0.155311,0.157611,"3,130,450","55,163,850"
21.Mar.20,0.211457,0.221311,0.184711,0.193912,"2,251,570","67,869,200"
22.Mar.20,0.199246,0.210863,0.195898,0.209849,"1,492,410","73,447,150"
23.Mar.20,0.205613,0.218749,0.182713,0.198876,"2,352,990","69,606,600"
24.Mar.20,0.22461,0.227004,0.199226,0.206531,"1,522,820","72,285,850"
25.Mar.20,0.227601,0.235078,0.219734,0.224644,"1,419,580","78,625,400"
26.Mar.20,0.254033,0.254033,0.224187,0.227041,"1,681,240","79,464,350"
27.Mar.20,0.255253,0.257736,0.235772,0.254435,"2,161,880","89,052,250"
28.Mar.20,0.244765,0.294806,0.236123,0.254453,"3,665,750","89,058,550"
29.Mar.20,0.263856,0.276816,0.228412,0.248675,"2,972,470","87,036,250"
30.Mar.20,0.258186,0.285979,0.249826,0.264695,"4,038,780","92,643,250"
31.Mar.20,0.223434,0.266299,0.203227,0.252681,"5,154,740","88,438,350"
1.Apr.20,0.298908,0.323952,0.21627,0.223874,"7,715,660","78,355,900"
2.Apr.20,0.367808,0.377265,0.293921,0.3,"5,812,480","105,000,000"
3.Apr.20,0.402731,0.402731,0.32579,0.366229,"5,336,930","128,180,150"
4.Apr.20,0.422383,0.422383,0.359183,0.400848,"6,321,060","140,296,800"
5.Apr.20,0.415525,0.527722,0.389498,0.423807,"12,123,000","148,332,450"
6.Apr.20,0.391134,0.423696,0.37072,0.413516,"5,135,330","144,730,600"
7.Apr.20,0.434848,0.459368,0.389206,0.39186,"4,219,350","137,151,000"
8.Apr.20,0.441636,0.47379,0.414082,0.434603,"7,521,630","152,111,050"
9.Apr.20,0.452886,0.475765,0.423021,0.444011,"8,959,280","155,403,850"
10.Apr.20,0.416346,0.454111,0.408787,0.450463,"5,477,860","157,662,050"
11.Apr.20,0.380399,0.43306,0.360251,0.407469,"7,138,890","142,614,150"
12.Apr.20,0.404506,0.43956,0.357163,0.380589,"6,781,680","133,206,150"
13.Apr.20,0.462486,0.473417,0.358079,0.397137,"7,203,350","138,997,950"
14.Apr.20,0.472246,0.476171,0.423777,0.463657,"7,408,570","162,279,950"
15.Apr.20,0.406319,0.48505,0.404342,0.475765,"12,167,500","166,517,750"
16.Apr.20,0.39703,0.417906,0.378043,0.406538,"6,291,110","142,288,300"
17.Apr.20,0.343186,0.398695,0.336883,0.397361,"7,604,930","139,076,350"
18.Apr.20,0.367254,0.367254,0.295817,0.345535,"8,211,990","120,937,250"
19.Apr.20,0.437667,0.440264,0.356767,0.356767,"7,101,340","124,868,450"
20.Apr.20,0.451547,0.451884,0.382034,0.436647,"10,005,100","152,826,450"
21.Apr.20,0.312497,0.472558,0.300089,0.451364,"23,440,700","157,977,400"
22.Apr.20,0.245437,0.334931,0.214421,0.30844,"8,896,430","107,954,000"
23.Apr.20,0.193377,0.28382,0.19131,0.243795,"8,113,680","85,328,250"
24.Apr.20,0.194737,0.206099,0.194253,0.194586,"1,097,010","68,105,100"
25.Apr.20,0.182039,0.223162,0.182039,0.194958,"1,319,050","68,235,300"
26.Apr.20,0.170636,0.182637,0.15858,0.182198,"1,021,370","63,769,300"
27.Apr.20,0.13111,0.19025,0.130275,0.170278,"1,025,740","59,597,300"
28.Apr.20,0.149562,0.15744,0.126297,0.131129,"1,186,670","45,895,150"
29.Apr.20,0.169826,0.181675,0.139869,0.150503,"1,423,220","52,676,050"
30.Apr.20,0.189132,0.207892,0.155292,0.16968,"2,126,270","59,388,000"
1.May.20,0.156494,0.189448,0.152489,0.189165,"2,718,640","66,207,750"
