Date,Open,High,Low,Close,Adj Close,Volume
2015-04-27,44961.000000,46099.300781,44961.000000,45719.898438,45378.707031,361027
2015-04-28,46051.898438,46194.199219,45055.898438,45530.199219,45190.421875,340171
2015-04-29,45719.898438,45814.699219,44154.800781,44581.601563,44248.902344,418548
2015-04-30,44249.601563,44486.800781,43395.898438,43443.398438,43119.195313,378606
2015-05-04,43917.601563,44059.898438,42637.101563,43253.699219,42930.910156,333359
2015-05-06,42589.699219,42969.101563,40550.300781,40692.601563,40388.925781,651138
2015-05-07,40597.699219,41451.398438,40597.699219,41451.398438,41142.058594,379213
2015-05-08,42162.800781,42921.699219,42020.601563,42115.398438,41801.105469,380069
2015-05-11,42589.699219,43301.101563,42210.300781,42779.398438,42460.148438,373006
2015-05-12,42684.500000,42779.398438,41214.300781,41593.699219,41283.296875,414105
2015-05-13,41072.000000,42210.300781,41072.000000,41783.398438,41471.582031,165518
2015-05-14,41546.300781,41973.101563,41214.300781,41404.000000,41095.015625,207621
2015-05-15,42305.101563,42400.000000,40977.199219,41072.000000,40765.492188,429559
2015-05-18,40787.398438,40977.199219,39364.601563,39459.500000,39165.027344,563253
2015-05-19,39269.800781,39886.300781,38748.101563,38937.800781,38647.218750,485295
2015-05-20,39459.500000,41688.601563,39174.898438,41498.898438,41189.207031,738652
2015-05-21,41498.898438,41593.699219,40408.000000,41356.601563,41047.968750,542714
2015-05-22,41166.898438,41688.601563,40502.898438,41688.601563,41377.492188,410533
2015-05-26,41973.101563,41973.101563,39744.000000,39933.800781,39635.789063,532114
2015-05-27,40028.601563,40692.601563,39080.101563,39127.500000,38835.503906,644375
2015-05-28,39601.800781,39601.800781,38605.800781,38937.800781,38647.218750,481323
2015-05-29,38416.101563,39174.898438,38368.699219,38368.699219,38082.367188,447649
2015-06-01,37467.500000,37467.500000,36519.000000,36851.000000,36575.992188,844948
2015-06-02,36803.601563,37467.500000,36329.300781,36613.800781,36340.562500,599402
2015-06-03,35712.699219,37135.500000,35712.699219,36708.699219,36434.753906,514581
2015-06-04,36803.601563,36851.000000,36281.898438,36613.800781,36340.562500,525211
2015-06-05,36329.300781,37183.000000,36329.300781,36993.300781,36717.230469,361077
2015-06-08,36519.000000,37515.000000,36187.000000,36898.398438,36623.039063,456647
2015-06-09,37372.699219,38368.699219,37325.300781,37704.699219,37423.320313,641018
2015-06-10,37894.398438,37941.800781,35855.000000,36092.101563,35822.757813,1079120
2015-06-11,36044.699219,36756.101563,35523.000000,36139.601563,35869.902344,646080
2015-06-12,36613.800781,37040.699219,35285.898438,35570.398438,35304.949219,575653
2015-06-15,35048.699219,35048.699219,33341.398438,33388.800781,33139.628906,861512
2015-06-16,33388.800781,34005.300781,33009.398438,33910.500000,33657.437500,669234
2015-06-17,33910.500000,33957.898438,33009.398438,33768.199219,33516.199219,564051
2015-06-18,33957.898438,34337.300781,33531.101563,33863.101563,33610.390625,536714
2015-06-19,34147.601563,36187.000000,33957.898438,35902.398438,35634.468750,1066566
2015-06-22,36756.101563,37657.199219,36756.101563,37325.300781,37046.753906,881157
2015-06-23,37325.300781,37704.699219,36661.300781,37657.199219,37376.175781,521798
2015-06-24,37704.699219,38368.699219,37277.800781,37894.398438,37611.605469,441683
2015-06-25,37609.800781,38178.898438,37277.800781,37752.101563,37470.371094,293887
2015-06-26,37752.101563,37752.101563,36803.601563,37088.101563,36811.324219,313079
2015-06-29,36424.101563,36756.101563,35807.601563,35949.898438,35681.617188,401180
2015-06-30,35807.601563,38510.898438,35760.199219,38416.101563,38129.414063,667037
2015-07-01,38510.898438,40123.500000,37609.800781,39696.601563,39400.359375,850846
2015-07-02,40313.199219,41593.699219,39744.000000,40692.601563,40388.925781,1413529
2015-07-03,40740.000000,41214.300781,39317.199219,39364.601563,39070.835938,614794
2015-07-06,38700.601563,40408.000000,38605.800781,39080.101563,38788.460938,619705
2015-07-07,40408.000000,42210.300781,39886.300781,41309.101563,41000.824219,1588267
2015-07-08,41309.101563,41641.101563,39744.000000,39838.898438,39541.593750,634193
2015-07-09,38890.398438,39364.601563,36945.800781,37657.199219,37376.175781,1695939
2015-07-10,38036.699219,38084.101563,37467.500000,37704.699219,37423.320313,540514
2015-07-13,37989.199219,38463.500000,37704.699219,38368.699219,38082.367188,476788
2015-07-14,38605.800781,38700.601563,37372.699219,37420.101563,37140.847656,693456
2015-07-15,38368.699219,38416.101563,37372.699219,37420.101563,37140.847656,935052
2015-07-16,36993.300781,38226.398438,36708.699219,37420.101563,37140.847656,9523520
2015-07-17,37515.000000,37941.800781,36281.898438,36993.300781,36717.230469,1211930
2015-07-20,37040.699219,37372.699219,36139.601563,36471.601563,36199.425781,873929
2015-07-21,36519.000000,36898.398438,35570.398438,35760.199219,35493.332031,1183720
2015-07-22,35949.898438,36234.398438,35333.300781,35570.398438,35304.949219,687210
2015-07-23,36139.601563,37325.300781,35855.000000,37325.300781,37046.753906,1136467
2015-07-24,37277.800781,37704.699219,36613.800781,37609.800781,37329.132813,1131157
2015-07-27,37609.800781,37609.800781,36329.300781,36613.800781,36340.562500,644956
2015-07-28,36187.000000,36424.101563,35380.699219,35523.000000,35257.902344,802574
2015-07-29,35760.199219,36044.699219,35475.601563,35665.300781,35399.140625,417429
2015-07-30,35902.398438,35902.398438,33720.800781,33768.199219,33516.199219,1302413
2015-07-31,32914.500000,34147.601563,32819.699219,33293.898438,33045.437500,1111251
2015-08-03,33388.800781,33768.199219,32108.300781,32392.800781,32151.064453,964478
2015-08-04,33056.800781,36329.300781,32867.101563,36092.101563,35822.757813,2171657
2015-08-05,36281.898438,37135.500000,35428.199219,35523.000000,35257.902344,764229
2015-08-06,35997.300781,36281.898438,35570.398438,35665.300781,35399.140625,403643
2015-08-07,35475.601563,35475.601563,34716.800781,34953.898438,34693.046875,402655
2015-08-10,35617.898438,36613.800781,35191.000000,36519.000000,36246.468750,772738
2015-08-11,36092.101563,36234.398438,35475.601563,35475.601563,35210.859375,624706
2015-08-12,35380.699219,35855.000000,33531.101563,34005.300781,33751.531250,796773
2015-08-13,33863.101563,35001.300781,33720.800781,34384.800781,34128.199219,612684
2015-08-14,34384.800781,34384.800781,34384.800781,34384.800781,34128.199219,0
2015-08-17,33768.199219,34005.300781,33199.101563,33436.199219,33186.675781,523956
2015-08-18,33341.398438,33531.101563,32345.400391,32487.699219,32245.253906,887755
2015-08-19,32203.099609,32250.500000,30068.900391,30400.900391,30174.027344,1153931
2015-08-20,30068.900391,31634.000000,30068.900391,30543.199219,30315.265625,786035
2015-08-21,29120.300781,29736.900391,29025.500000,29404.900391,29185.460938,795567
2015-08-24,28930.599609,29831.699219,28456.400391,29167.800781,28950.130859,693723
2015-08-25,29784.300781,30827.699219,29025.500000,30116.300781,29891.552734,835401
2015-08-26,30353.400391,31586.599609,30306.000000,31539.099609,31303.732422,675699
2015-08-27,31966.000000,32060.800781,30922.599609,31064.900391,30833.072266,504911
2015-08-28,30922.599609,31349.400391,30827.699219,31159.699219,30927.164063,577630
2015-08-31,31302.000000,31586.599609,30638.000000,31586.599609,31350.878906,520890
2015-09-01,30638.000000,31302.000000,30353.400391,30353.400391,30126.882813,643864
